epoch,step,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,4.014525984530337e-05,0.004404813516885042,0.0,0.9855724573135376,0.005920405499637127
0,499,0.0033542891032993793,0.023532068356871605,0.0,-0.3222137689590454,0.028490127995610237,,,,,
1,999,,,,,,3.641821604105644e-05,0.004027664195746183,0.0,0.9867410063743591,0.005682801362127066
1,999,3.840822682832368e-05,0.004060172010213137,0.0,0.986666202545166,0.005591185297816992,,,,,
