epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,0.0011073097120970488,0.027664953842759132,7.05719003235572e-07,0.7643598914146423,0.03314562886953354
0,499,,,,,,0.001220446894876659,0.025642728433012962,2.212524350397871e-07,0.7302010655403137,0.03310949355363846,,,,,
1,999,,,,,,,,,,,0.0008760840864852071,0.02398192137479782,8.125305157591356e-07,0.813883364200592,0.029453380033373833
1,999,,,,,,0.0008560416172258556,0.022585779428482056,1.4781951662712345e-08,0.8084099888801575,0.029050510376691818,,,,,
2,1499,,,,,,,,,,,0.0007688606856390834,0.02115534245967865,1.1463165492386906e-06,0.8373755216598511,0.0275221336632967
2,1499,,,,,,0.0008204203331843019,0.022115232422947884,0.0,0.817366361618042,0.02846965566277504,,,,,
3,1999,,,,,,,,,,,0.0009825738379731774,0.025960082188248634,1.1539459592313506e-06,0.7909796237945557,0.031213508918881416
3,1999,,,,,,0.0008284986834041774,0.022283906117081642,8.249282501537891e-08,0.8138746619224548,0.028589721769094467,,,,,
4,2499,,,,,,,,,,,0.0007532132440246642,0.02096758596599102,1.0948181170533644e-06,0.8406959772109985,0.027241548523306847
4,2499,,,,,,0.0008001766982488334,0.021878406405448914,2.923011663824582e-07,0.8190674781799316,0.028119578957557678,,,,,
5,2999,,,,,,,,,,,0.0007504955283366144,0.021389637142419815,1.08909603113716e-06,0.8407134413719177,0.027217712253332138
5,2999,,,,,,0.0007969645666889846,0.021880457177758217,4.2963029045495205e-07,0.8200793266296387,0.02805750072002411,,,,,
6,3499,,,,,,,,,,,0.0008426769054494798,0.02188875339925289,1.7814636521507055e-06,0.8217422962188721,0.028819022700190544
6,3499,,,,,,0.0007975822663865983,0.02191905863583088,6.28948214398406e-07,0.8219025731086731,0.028057018294930458,,,,,
7,3999,,,,,,,,,,,0.0007449029944837093,0.020967209711670876,2.916336143243825e-06,0.8423624038696289,0.027073411270976067
7,3999,,,,,,0.0007901366916485131,0.02180097997188568,4.5299529460862686e-07,0.8225235342979431,0.027933087199926376,,,,,
8,4499,,,,,,,,,,,0.0007230634801089764,0.020751988515257835,5.065917775937123e-06,0.8472480177879333,0.026630593463778496
8,4499,,,,,,0.0007635656511411071,0.0214544590562582,2.0284653601265745e-06,0.8283961415290833,0.02743547409772873,,,,,
9,4999,,,,,,,,,,,0.0007275246898643672,0.020997457206249237,3.4065246836689766e-06,0.8465630412101746,0.026731885969638824
9,4999,,,,,,0.0007662484422326088,0.02148360200226307,2.609252987895161e-06,0.8289057016372681,0.027456194162368774,,,,,
10,5000,,,,,,,,,,,0.0007275246898643672,0.020997457206249237,3.4065246836689766e-06,0.8465630412101746,0.026731885969638824
10,5000,0.0007186477887444198,0.020974012091755867,1.0864257546927547e-06,0.8414642810821533,0.02666596695780754,,,,,,,,,,
