epoch,step,test_group_l1,test_hsic,test_hsic_reg,test_l0_penalty,test_l0_reg,test_loss_x,test_notears,test_score_sparse,test_x_mae,test_x_r2,test_x_rmse,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
17,269,,,,,,,,,,,,,,,,,,,,,,,0.0,4.51650885224808e-05,0.0,0.0,0.0,0.020129671320319176,0.020129671320319176,0.0,0.8999999761581421,0.11145994812250137,0.003598984098061919,0.14187562465667725
17,269,,,,,,,,,,,,0.0,4.587093644659035e-05,0.0,0.0,0.0,0.020254187285900116,0.0,0.4365653395652771,0.1125762090086937,0.004255829378962517,0.1422998011112213,,,,,,,,,,,,
18,284,,,,,,,,,,,,,,,,,,,,,,,0.0,4.516008266364224e-05,0.0,0.0,0.0,0.020409192889928818,0.020409192889928818,0.0,0.8999999761581421,0.1153082400560379,-0.010228646919131279,0.14285695552825928
18,284,,,,,,,,,,,,0.0,4.541387897916138e-05,0.0,0.0,0.0,0.02072364278137684,0.0,0.42612266540527344,0.11366191506385803,-0.018924623727798462,0.14394040405750275,,,,,,,,,,,,
19,299,,,,,,,,,,,,,,,,,,,,,,,0.0,4.505170727497898e-05,0.0,0.0,0.0,0.02020655758678913,0.02020655758678913,0.0,0.8999999761581421,0.1108827292919159,-0.00021000289416406304,0.14214639365673065
19,299,,,,,,,,,,,,0.0,4.598542727762833e-05,0.0,0.0,0.0,0.020401163026690483,0.0,0.37693867087364197,0.11318060755729675,-0.0029811724089086056,0.14282260835170746,,,,,,,,,,,,
20,314,,,,,,,,,,,,,,,,,,,,,,,0.0,4.511488805292174e-05,0.0,0.0,0.0,0.020572112873196602,0.020572112873196602,0.0,0.8999999761581421,0.11026091128587723,-0.018314093351364136,0.14342662692070007
20,314,,,,,,,,,,,,0.0,4.5712713472312316e-05,0.0,0.0,0.0,0.020659878849983215,0.0,0.4758293330669403,0.11386112123727798,-0.015366577543318272,0.14367520809173584,,,,,,,,,,,,
21,329,,,,,,,,,,,,,,,,,,,,,,,0.0,4.490873834583908e-05,0.0,0.0,0.0,0.02008938044309616,0.02008938044309616,0.0,0.8999999761581421,0.1129077896475792,0.005599247757345438,0.14173336327075958
21,329,,,,,,,,,,,,0.0,4.5535285607911646e-05,0.0,0.0,0.0,0.020590415224432945,0.0,0.45228806138038635,0.11345794796943665,-0.012263097800314426,0.14347580075263977,,,,,,,,,,,,
22,344,,,,,,,,,,,,,,,,,,,,,,,0.0,4.481839278014377e-05,0.0,0.0,0.0,0.0206891056150198,0.0206891056150198,0.0,0.8999999761581421,0.11009373515844345,-0.02410680614411831,0.14383387565612793
22,344,,,,,,,,,,,,0.0,4.595624341163784e-05,0.0,0.0,0.0,0.02049185335636139,0.0,0.4443199932575226,0.11375083029270172,-0.007577170617878437,0.14314071834087372,,,,,,,,,,,,
23,359,,,,,,,,,,,,,,,,,,,,,,,0.0,4.476946560316719e-05,0.0,0.0,0.0,0.0201185904443264,0.0201185904443264,0.0,0.8999999761581421,0.11327985674142838,0.004154713358730078,0.14183633029460907
23,359,,,,,,,,,,,,0.0,4.498987982515246e-05,0.0,0.0,0.0,0.02059054933488369,0.0,0.37059199810028076,0.11315420269966125,-0.012267525307834148,0.14347797632217407,,,,,,,,,,,,
24,374,,,,,,,,,,,,,,,,,,,,,,,0.0,4.468768020160496e-05,0.0,0.0,0.0,0.021401090547442436,0.021401090547442436,0.0,0.8999999761581421,0.1102345809340477,-0.05936158448457718,0.14628805220127106
24,374,,,,,,,,,,,,0.0,4.493320739129558e-05,0.0,0.0,0.0,0.021300114691257477,0.0,0.4856107234954834,0.11581863462924957,-0.04723973944783211,0.14591003954410553,,,,,,,,,,,,
25,389,,,,,,,,,,,,,,,,,,,,,,,0.0,4.469771374715492e-05,0.0,0.0,0.0,0.02008076198399067,0.02008076198399067,0.0,0.8999999761581421,0.11121175438165665,0.006020786240696907,0.14170308411121368
25,389,,,,,,,,,,,,0.0,4.554508996079676e-05,0.0,0.0,0.0,0.02075793407857418,0.0,0.494133323431015,0.1139931008219719,-0.02059910260140896,0.14404726028442383,,,,,,,,,,,,
26,404,,,,,,,,,,,,,,,,,,,,,,,0.0,4.46665144409053e-05,0.0,0.0,0.0,0.020729688927531242,0.020729688927531242,0.0,0.8999999761581421,0.1172405257821083,-0.026091482490301132,0.143974170088768
26,404,,,,,,,,,,,,0.0,4.4710617657983676e-05,0.0,0.0,0.0,0.020557474344968796,0.0,0.4312532842159271,0.11288782209157944,-0.010579908266663551,0.14335675537586212,,,,,,,,,,,,
27,419,,,,,,,,,,,,,,,,,,,,,,,0.0,4.463953519007191e-05,0.0,0.0,0.0,0.022427508607506752,0.022427508607506752,0.0,0.8999999761581421,0.11121358722448349,-0.11018392443656921,0.14975520968437195
27,419,,,,,,,,,,,,0.0,4.563319816952571e-05,0.0,0.0,0.0,0.021395696327090263,0.0,0.4630613327026367,0.11636289954185486,-0.052261751145124435,0.14618514478206635,,,,,,,,,,,,
28,434,,,,,,,,,,,,,,,,,,,,,,,0.0,4.482148142415099e-05,0.0,0.0,0.0,0.024277694523334503,0.024277694523334503,0.0,0.8999999761581421,0.1300746649503708,-0.20173007249832153,0.15580888092517853
28,434,,,,,,,,,,,,0.0,4.557037755148485e-05,0.0,0.0,0.0,0.024361085146665573,0.0,0.41678932309150696,0.1215016096830368,-0.19800059497356415,0.15582357347011566,,,,,,,,,,,,
