epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,4.9388963816454634e-05,0.0044684093445539474,0.0,0.9855510592460632,0.006006611976772547
0,499,,,,,,0.0003559337928891182,0.00873926654458046,0.0,0.854559063911438,0.011486915871500969,,,,,
1,999,,,,,,,,,,,2.2318345145322382e-05,0.002346279099583626,0.0,0.9943038821220398,0.003663205774500966
1,999,,,,,,2.1362035113270395e-05,0.0030599150341004133,0.0,0.9920198917388916,0.004198997747153044,,,,,
2,1499,,,,,,,,,,,1.7458796719438396e-05,0.002338721649721265,0.0,0.995010256767273,0.0034464476630091667
2,1499,,,,,,1.1454414561740123e-05,0.0023163885343819857,0.0,0.995669424533844,0.003097323002293706,,,,,
3,1999,,,,,,,,,,,1.3823112567479257e-05,0.0022191519383341074,0.0,0.9961490631103516,0.0030249974224716425
3,1999,,,,,,1.0752974048955366e-05,0.0023124183062464,0.0,0.9957861304283142,0.0030318889766931534,,,,,
4,2499,,,,,,,,,,,1.2243426681379788e-05,0.0019262335263192654,0.0,0.9965869784355164,0.0028377713169902563
4,2499,,,,,,1.0760449185909238e-05,0.0023745836224406958,0.0,0.9956613183021545,0.0030880854465067387,,,,,
5,2999,,,,,,,,,,,1.7224168914253823e-05,0.0031605211552232504,0.0,0.9942327737808228,0.003798060119152069
5,2999,,,,,,1.0361088243371341e-05,0.002327998634427786,0.0,0.9957624077796936,0.0030328924767673016,,,,,
6,3499,,,,,,,,,,,1.2397380487527698e-05,0.0020859879441559315,0.0,0.9960808753967285,0.003105709794908762
6,3499,,,,,,1.171593066828791e-05,0.0025517591275274754,0.0,0.9952259659767151,0.003234894247725606,,,,,
7,3999,,,,,,,,,,,1.1294592695776373e-05,0.0019328950438648462,0.0,0.9965188503265381,0.0029050144366919994
7,3999,,,,,,1.0558520443737507e-05,0.002396955620497465,0.0,0.9955966472625732,0.0030715856701135635,,,,,
8,4499,,,,,,,,,,,2.2925716621102765e-05,0.004034204874187708,0.0,0.991600513458252,0.004607323091477156
8,4499,,,,,,9.872448572423309e-06,0.002306810114532709,0.0,0.9959098100662231,0.0029807351529598236,,,,,
9,4999,,,,,,,,,,,1.0537161870161071e-05,0.002224363386631012,0.0,0.9966555237770081,0.0028664465062320232
9,4999,,,,,,1.1567487490538042e-05,0.0025522743817418814,0.0,0.9951518774032593,0.0032082742545753717,,,,,
10,5000,,,,,,,,,,,1.0537161870161071e-05,0.002224363386631012,0.0,0.9966555237770081,0.0028664465062320232
10,5000,7.924048077256884e-06,0.002211118582636118,0.0,0.9966912269592285,0.0027422350831329823,,,,,,,,,,
