epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,0.0008123207953758538,0.0216715969145298,0.0,0.8196789026260376,0.0282977893948555
0,499,,,,,,0.003003822173923254,0.035536251962184906,4.577636758540393e-08,0.37658828496932983,0.045483607798814774,,,,,
1,999,,,,,,,,,,,0.0007749367505311966,0.021826064214110374,0.0,0.826810359954834,0.027683576568961143
1,999,,,,,,0.0008177407435141504,0.022167792543768883,3.862380992813996e-08,0.8169576525688171,0.02843259461224079,,,,,
2,1499,,,,,,,,,,,0.0007785626803524792,0.021370012313127518,0.0,0.8269541263580322,0.02773052267730236
2,1499,,,,,,0.0008100640843622386,0.02208106964826584,2.0503998499066256e-08,0.8205135464668274,0.028296371921896935,,,,,
3,1999,,,,,,,,,,,0.0009044584585353732,0.022502351552248,0.0,0.8001189231872559,0.02986881136894226
3,1999,,,,,,0.0007941063377074897,0.02185250073671341,5.149841442175784e-08,0.8260246515274048,0.028007755056023598,,,,,
4,2499,,,,,,,,,,,0.0008083645952865481,0.0228081364184618,0.0,0.8186120986938477,0.028315149247646332
4,2499,,,,,,0.0007968307472765446,0.021941913291811943,0.0,0.8234230279922485,0.028048580512404442,,,,,
5,2999,,,,,,,,,,,0.0008061338448897004,0.021428033709526062,0.0,0.8215111494064331,0.02821192890405655
5,2999,,,,,,0.0007977935601957142,0.021923504769802094,6.008148289993187e-08,0.8231921792030334,0.028072886168956757,,,,,
6,3499,,,,,,,,,,,0.0010530247818678617,0.026808876544237137,2.8610228852699038e-08,0.76255863904953,0.032349441200494766
6,3499,,,,,,0.0007951828883960843,0.02191752940416336,2.9087066977240283e-08,0.8228732347488403,0.02803470566868782,,,,,
7,3999,,,,,,,,,,,0.0007430714904330671,0.021064070984721184,1.2016296579986374e-07,0.8344736099243164,0.027112558484077454
7,3999,,,,,,0.0007927217520773411,0.021880336105823517,3.3044815950233897e-07,0.8246225118637085,0.0280020572245121,,,,,
8,4499,,,,,,,,,,,0.0007776631391607225,0.02221064083278179,2.1743774425431184e-07,0.8258852362632751,0.027766335755586624
8,4499,,,,,,0.0007881181663833559,0.021806392818689346,1.2683868533258646e-07,0.8246903419494629,0.02790469117462635,,,,,
9,4999,,,,,,,,,,,0.000758298730943352,0.021693598479032516,6.923675641701266e-07,0.8307104110717773,0.027399569749832153
9,4999,,,,,,0.0007719104760326445,0.02158460207283497,7.181167802627897e-07,0.8283761143684387,0.027605343610048294,,,,,
10,5000,,,,,,,,,,,0.000758298730943352,0.021693598479032516,6.923675641701266e-07,0.8307104110717773,0.027399569749832153
10,5000,0.000758733251132071,0.021799953654408455,5.29479962096957e-07,0.8329220414161682,0.027424145489931107,,,,,,,,,,
