epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,0.0015871378127485514,0.0314478762447834,4.844093200517818e-05,0.6575133204460144,0.03908437117934227
0,499,,,,,,0.01423874031752348,0.061825528740882874,2.4579048840678297e-05,-2.1080079078674316,0.07424106448888779,,,,,
1,999,,,,,,,,,,,0.0007859378238208592,0.02246306650340557,4.753112989419606e-06,0.8242801427841187,0.027842359617352486
1,999,,,,,,0.0009923537727445364,0.02472895383834839,3.67774955520872e-05,0.7904521822929382,0.030647054314613342,,,,,
2,1499,,,,,,,,,,,0.000719535571988672,0.021076280623674393,3.051757957450718e-08,0.838563084602356,0.026691585779190063
2,1499,,,,,,0.0007588829612359405,0.02147349715232849,3.7026404697826365e-06,0.8321036696434021,0.027333395555615425,,,,,
3,1999,,,,,,,,,,,0.0007033876026980579,0.020712606608867645,0.0,0.8420904278755188,0.02638571709394455
3,1999,,,,,,0.000743234355468303,0.021136123687028885,2.3021698325464968e-06,0.8355655670166016,0.027063457295298576,,,,,
4,2499,,,,,,,,,,,0.0007012985879555345,0.020532594993710518,0.0,0.8426827788352966,0.026341598480939865
4,2499,,,,,,0.0007366889039985836,0.020970482379198074,9.379386938235257e-07,0.8356971144676208,0.026978133246302605,,,,,
5,2999,,,,,,,,,,,0.0006981396581977606,0.020650772377848625,0.0,0.8429573774337769,0.02629079297184944
5,2999,,,,,,0.0007414809660986066,0.02107183448970318,2.298355070706748e-07,0.8356941938400269,0.027071891352534294,,,,,
6,3499,,,,,,,,,,,0.0007170910248532891,0.021039946004748344,0.0,0.838803768157959,0.026639699935913086
6,3499,,,,,,0.0007345764897763729,0.020948641002178192,1.2054443914166768e-06,0.8366705775260925,0.026919078081846237,,,,,
7,3999,,,,,,,,,,,0.0007237408426590264,0.021194390952587128,0.0,0.8373501300811768,0.026765435934066772
7,3999,,,,,,0.0007330970256589353,0.020906617864966393,9.002685601444682e-07,0.8370248079299927,0.02690119668841362,,,,,
8,4499,,,,,,,,,,,0.0006950712995603681,0.020468376576900482,0.0,0.8437812924385071,0.02622566744685173
8,4499,,,,,,0.0007476548198610544,0.021096231415867805,2.2568701751879416e-06,0.83426433801651,0.027132771909236908,,,,,
9,4999,,,,,,,,,,,0.0006920151645317674,0.02034185640513897,0.0,0.8444833159446716,0.026161689311265945
9,4999,,,,,,0.0007326067425310612,0.020886531099677086,9.126663371716859e-07,0.8370063304901123,0.02689896896481514,,,,,
10,5000,,,,,,,,,,,0.0006920151645317674,0.02034185640513897,0.0,0.8444833159446716,0.026161689311265945
10,5000,0.0006932772812433541,0.02023736946284771,7.354736339948431e-07,0.8470166921615601,0.026186035946011543,,,,,,,,,,
