epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,0.0032582059502601624,0.04203135892748833,0.0,0.2865998148918152,0.056729719042778015
0,499,,,,,,0.01094818115234375,0.06120380014181137,6.484985703991697e-08,-1.6691362857818604,0.07691037654876709,,,,,
1,999,,,,,,,,,,,0.0009283092804253101,0.022934656590223312,0.0,0.793076753616333,0.030251167714595795
1,999,,,,,,0.002247330266982317,0.03494003787636757,1.668930060816365e-08,0.5190813541412354,0.04628239572048187,,,,,
2,1499,,,,,,,,,,,0.0008578657289035618,0.022936493158340454,0.0,0.8065946698188782,0.029147539287805557
2,1499,,,,,,0.0008311047567985952,0.022181890904903412,1.0824203400261467e-07,0.817356526851654,0.02864709310233593,,,,,
3,1999,,,,,,,,,,,0.0008372555021196604,0.021896276623010635,0.0,0.8121894598007202,0.02874620445072651
3,1999,,,,,,0.0008172933012247086,0.022024299949407578,1.420974768961969e-07,0.8212320804595947,0.028405413031578064,,,,,
4,2499,,,,,,,,,,,0.0008774170419201255,0.02347821183502674,0.0,0.8014021515846252,0.029498545452952385
4,2499,,,,,,0.0008193917456083,0.02209758199751377,4.148483156996008e-08,0.8179445266723633,0.02845214121043682,,,,,
5,2999,,,,,,,,,,,0.0008289930410683155,0.021832818165421486,0.0,0.8137696385383606,0.02861003205180168
5,2999,,,,,,0.0008192048990167677,0.022103620693087578,2.98500054896067e-07,0.8193418979644775,0.028423160314559937,,,,,
6,3499,,,,,,,,,,,0.0008119044359773397,0.021831147372722626,0.0,0.8171460032463074,0.028333356603980064
6,3499,,,,,,0.0008201714372262359,0.02211499586701393,2.5844573769973067e-07,0.8188831210136414,0.028472978621721268,,,,,
7,3999,,,,,,,,,,,0.0008207429200410843,0.02146264538168907,0.0,0.8157112002372742,0.028458761051297188
7,3999,,,,,,0.0008069332106970251,0.021962229162454605,9.536743306171047e-08,0.8231651782989502,0.02822163701057434,,,,,
8,4499,,,,,,,,,,,0.0008014085469767451,0.02217264473438263,1.3084411421004916e-06,0.8185065984725952,0.028167037293314934
8,4499,,,,,,0.0007911678985692561,0.02174563519656658,3.6096574262955983e-07,0.824554979801178,0.027957869693636894,,,,,
9,4999,,,,,,,,,,,0.0007817124715074897,0.021806081756949425,2.523422153899446e-06,0.8233354091644287,0.02779182232916355
9,4999,,,,,,0.0007909761625342071,0.021866414695978165,1.2159347306806012e-06,0.8266118168830872,0.02793029323220253,,,,,
10,5000,,,,,,,,,,,0.0007817124715074897,0.021806081756949425,2.523422153899446e-06,0.8233354091644287,0.02779182232916355
10,5000,0.0007417183369398117,0.021380381658673286,1.385498080708203e-06,0.8366760015487671,0.027090096846222878,,,,,,,,,,
