epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,4.0574501326773316e-05,0.004156130366027355,0.0,0.9852613806724548,0.005896565970033407
0,499,,,,,,0.006912230979651213,0.0302877314388752,0.0,-1.7958461046218872,0.035522252321243286,,,,,
1,999,,,,,,,,,,,2.4388191377511248e-05,0.0033373862970620394,0.0,0.9909796714782715,0.004596134647727013
1,999,,,,,,3.304255005787127e-05,0.0038072902243584394,0.0,0.988230288028717,0.00533251604065299,,,,,
2,1499,,,,,,,,,,,1.481748950027395e-05,0.0026786334346979856,0.0,0.9941370487213135,0.0036860040854662657
2,1499,,,,,,2.0455330741242506e-05,0.0030973549000918865,0.0,0.9922730922698975,0.004283247049897909,,,,,
3,1999,,,,,,,,,,,8.936578524298966e-06,0.0021868045441806316,0.0,0.9962140321731567,0.0029353161808103323
3,1999,,,,,,1.1604223800532054e-05,0.002445541089400649,0.0,0.9953475594520569,0.0033099427819252014,,,,,
4,2499,,,,,,,,,,,8.059663741732948e-06,0.0020282710902392864,0.0,0.9965159296989441,0.002803325653076172
4,2499,,,,,,8.177487870852929e-06,0.0021004294976592064,0.0,0.9965255260467529,0.002818445907905698,,,,,
5,2999,,,,,,,,,,,7.701389222347643e-06,0.002063253428786993,0.0,0.9966848492622375,0.002750224666669965
5,2999,,,,,,7.715871106483974e-06,0.0020479760132730007,0.0,0.9967514872550964,0.002741802716627717,,,,,
6,3499,,,,,,,,,,,7.368843398580793e-06,0.0019965353421866894,0.0,0.9968256950378418,0.0026830267161130905
6,3499,,,,,,7.684129741392098e-06,0.0020548924803733826,0.0,0.9967451691627502,0.0027379074599593878,,,,,
7,3999,,,,,,,,,,,7.271778031281428e-06,0.0019552279263734818,0.0,0.9968704581260681,0.002662645885720849
7,3999,,,,,,7.605812697875081e-06,0.0020411282312124968,0.0,0.9967748522758484,0.0027187529485672712,,,,,
8,4499,,,,,,,,,,,7.422368071274832e-06,0.0019474179716780782,0.0,0.9968088269233704,0.0026862733066082
8,4499,,,,,,7.592057045258116e-06,0.002043570391833782,0.0,0.9967874884605408,0.002717838855460286,,,,,
9,4999,,,,,,,,,,,7.87500903243199e-06,0.0021726160775870085,0.0,0.9965948462486267,0.002782387426123023
9,4999,,,,,,7.661365998501424e-06,0.0020568547770380974,0.0,0.9967269897460938,0.0027311386074870825,,,,,
10,5000,,,,,,,,,,,7.87500903243199e-06,0.0021726160775870085,0.0,0.9965948462486267,0.002782387426123023
10,5000,7.854579052946065e-06,0.0021824187133461237,0.0,0.9965623021125793,0.002777453977614641,,,,,,,,,,
