epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,0.0011700618779286742,0.026753438636660576,0.0,0.7381812334060669,0.034039709717035294
0,499,,,,,,0.005363028030842543,0.04862859845161438,4.2915345943583816e-08,-0.15760573744773865,0.06254793703556061,,,,,
1,999,,,,,,,,,,,0.0008740600314922631,0.023578915745019913,0.0,0.8000327348709106,0.029426615685224533
1,999,,,,,,0.0008626611670479178,0.02280620113015175,2.3365020140886372e-08,0.8095231056213379,0.029189620167016983,,,,,
2,1499,,,,,,,,,,,0.0007953462773002684,0.02189384214580059,0.0,0.8184241652488708,0.028048455715179443
2,1499,,,,,,0.0008289798279292881,0.02228795923292637,1.1348724626714102e-07,0.8169764280319214,0.028611794114112854,,,,,
3,1999,,,,,,,,,,,0.0007958673522807658,0.021283797919750214,0.0,0.8185586929321289,0.02802305668592453
3,1999,,,,,,0.0008165987092070282,0.022117383778095245,1.7881393432617188e-07,0.8201696276664734,0.028409643098711967,,,,,
4,2499,,,,,,,,,,,0.000799145782366395,0.02150777168571949,0.0,0.817671000957489,0.028094470500946045
4,2499,,,,,,0.0007890846463851631,0.021802200004458427,1.1634826790896113e-07,0.8259100914001465,0.027943886816501617,,,,,
5,2999,,,,,,,,,,,0.0007549652364104986,0.021195368841290474,0.0,0.8272691965103149,0.02732444554567337
5,2999,,,,,,0.0007944107637740672,0.02185831405222416,1.0247230193272117e-06,0.8232356905937195,0.027999218553304672,,,,,
6,3499,,,,,,,,,,,0.0007572341710329056,0.021668018773198128,0.0,0.8263453841209412,0.027399253100156784
6,3499,,,,,,0.0007889011758379638,0.02181515470147133,8.559226785109786e-07,0.8236520290374756,0.02790018543601036,,,,,
7,3999,,,,,,,,,,,0.0007362973410636187,0.021067874506115913,0.0,0.8314371109008789,0.026993967592716217
7,3999,,,,,,0.0007856193115003407,0.02176140807569027,1.0361671911596204e-06,0.8249239325523376,0.02783959172666073,,,,,
8,4499,,,,,,,,,,,0.0008720988989807665,0.023858865723013878,0.0,0.7995747923851013,0.029434457421302795
8,4499,,,,,,0.0007642675191164017,0.02142895758152008,3.399372189960559e-06,0.8316258788108826,0.027434758841991425,,,,,
9,4999,,,,,,,,,,,0.0007357225404120982,0.021295521408319473,0.0,0.8312286734580994,0.026998959481716156
9,4999,,,,,,0.000771526072639972,0.02154325135052204,1.4762878208784969e-06,0.828917920589447,0.027596568688750267,,,,,
10,5000,,,,,,,,,,,0.0007357225404120982,0.021295521408319473,0.0,0.8312286734580994,0.026998959481716156
10,5000,0.0007219604449346662,0.021045269444584846,3.160095275234198e-06,0.8413743376731873,0.02670011669397354,,,,,,,,,,
