epoch,step,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
0,63,,,,,,,,2.018772602081299,0.0,2.234112501144409,2.2095274925231934,1.1867413520812988,0.7974583506584167,1.4811491966247559
0,63,1.851893424987793,0.0,2.2195870876312256,4.520686149597168,1.6014294624328613,0.5366500616073608,1.9956910610198975,,,,,,,
1,127,,,,,,,,2.061232328414917,0.0,2.0601446628570557,2.2074079513549805,1.1745660305023193,0.7976490259170532,1.4810094833374023
1,127,1.9799896478652954,0.0,2.207963466644287,2.1739463806152344,1.1680705547332764,0.7820342779159546,1.4673590660095215,,,,,,,
2,191,,,,,,,,1.990081787109375,0.0,1.7496278285980225,1.3171889781951904,0.9263007640838623,0.880921483039856,1.144754409790039
2,191,2.0363402366638184,0.0,1.927324652671814,1.5944279432296753,1.0025156736373901,0.8432281613349915,1.255189299583435,,,,,,,
3,255,,,,,,,,1.954990267753601,0.0,1.7447030544281006,1.3321763277053833,0.9265797138214111,0.8801299929618835,1.1504905223846436
3,255,1.891680121421814,0.0,1.7880979776382446,1.4747614860534668,0.9651688933372498,0.8551850914955139,1.2064061164855957,,,,,,,
4,319,,,,,,,,1.8409005403518677,0.0,1.6803483963012695,1.1665682792663574,0.8725944757461548,0.8938751816749573,1.077742576599121
4,319,1.851860761642456,0.0,1.7647144794464111,1.4381821155548096,0.9542369842529297,0.85943204164505,1.193158745765686,,,,,,,
