epoch,step,test_loss,test_mae,test_notears,test_r2,test_rmse,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,,,,,,3.7685509596485645e-05,0.0045175375416874886,5.7220459481754915e-09,0.9968355298042297,0.005971513222903013
0,499,,,,,,0.004743985366076231,0.03481754660606384,1.0490417423625331e-07,0.5686091780662537,0.043784257024526596,,,,,
1,999,,,,,,,,,,,3.06836336676497e-05,0.004260906018316746,0.0,0.9973834156990051,0.005462059751152992
1,999,,,,,,3.0229346521082334e-05,0.004299622029066086,4.768371808516747e-10,0.9972736835479736,0.005445392336696386,,,,,
2,1499,,,,,,,,,,,3.0605424399254844e-05,0.0043991743586957455,0.0,0.9973439574241638,0.005499519873410463
2,1499,,,,,,2.8166530682938173e-05,0.004202286247164011,0.0,0.9974589347839355,0.005275851581245661,,,,,
3,1999,,,,,,,,,,,2.6102259653271176e-05,0.00403548963367939,0.0,0.9977394938468933,0.005078918766230345
3,1999,,,,,,2.8265390938031487e-05,0.004224499221891165,0.0,0.9974408149719238,0.005282827187329531,,,,,
4,2499,,,,,,,,,,,2.8315495001152158e-05,0.004243388306349516,0.0,0.9975353479385376,0.005297424737364054
4,2499,,,,,,2.764020609902218e-05,0.004185913596302271,0.0,0.9974944591522217,0.005232207477092743,,,,,
5,2999,,,,,,,,,,,2.5358373022754677e-05,0.004015318583697081,0.0,0.9977913498878479,0.005016684532165527
5,2999,,,,,,2.81387401628308e-05,0.004226998891681433,0.0,0.9974325299263,0.005274595692753792,,,,,
6,3499,,,,,,,,,,,3.7614045140799135e-05,0.004966315813362598,0.0,0.9967193007469177,0.00611015735194087
6,3499,,,,,,2.9002110750298016e-05,0.004290533717721701,0.0,0.9973688721656799,0.005347828380763531,,,,,
7,3999,,,,,,,,,,,3.0444438380072825e-05,0.004414779134094715,0.0,0.997348964214325,0.0054948823526501656
7,3999,,,,,,3.160050619044341e-05,0.0044746482744812965,0.0,0.9971182346343994,0.005561780650168657,,,,,
8,4499,,,,,,,,,,,2.4985039999592118e-05,0.00399087043479085,0.0,0.9978207349777222,0.004981025122106075
8,4499,,,,,,3.069282684009522e-05,0.004437330178916454,0.0,0.9972037076950073,0.005494138691574335,,,,,
9,4999,,,,,,,,,,,3.602696961024776e-05,0.004845147021114826,0.0,0.996853232383728,0.0059800525195896626
9,4999,,,,,,3.1546700483886525e-05,0.004485344048589468,4.768371808516747e-10,0.9971356987953186,0.005554046016186476,,,,,
10,5000,,,,,,,,,,,3.602696961024776e-05,0.004845147021114826,0.0,0.996853232383728,0.0059800525195896626
10,5000,3.6229623219696805e-05,0.004870392382144928,0.0,0.9967082142829895,0.006000845693051815,,,,,,,,,,
