epoch,step,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,0.0008341275970451534,0.021693706512451172,1.5640259221072483e-07,0.8234621286392212,0.02866818942129612
0,499,0.006651559378951788,0.03885083273053169,0.0,-0.36901819705963135,0.04688529670238495,,,,,
1,999,,,,,,0.0009899932192638516,0.026110250502824783,2.651214572324534e-07,0.7883997559547424,0.03133969008922577
1,999,0.0008670921088196337,0.0227338969707489,0.0,0.8058730959892273,0.02924887090921402,,,,,
2,1499,,,,,,0.0007746946648694575,0.02195192687213421,1.6765594637035974e-06,0.8356159925460815,0.02764972671866417
2,1499,0.0009168981341645122,0.023551195859909058,4.577636758540393e-08,0.7945589423179626,0.029980244114995003,,,,,
3,1999,,,,,,0.0007927905535325408,0.02257673442363739,3.5686493902176153e-06,0.8317102193832397,0.02796032279729843
3,1999,0.0008890724275261164,0.023277223110198975,1.7337798681182903e-06,0.8002604842185974,0.029527954757213593,,,,,
4,2499,,,,,,0.0010568056022748351,0.026871033012866974,3.4427641821821453e-06,0.7749546766281128,0.03233598545193672
4,2499,0.0009075509151443839,0.02348829060792923,1.755237576617219e-06,0.7969444990158081,0.029735969379544258,,,,,
5,2999,,,,,,0.0010580006055533886,0.026802994310855865,5.266189418762224e-06,0.7754374742507935,0.03232564404606819
5,2999,0.0009218375198543072,0.02371840737760067,1.5497207641601562e-06,0.7929235696792603,0.02993740886449814,,,,,
6,3499,,,,,,0.0010840221075341105,0.024932077154517174,1.77955632807425e-06,0.7708154916763306,0.032690759748220444
6,3499,0.0008329181000590324,0.022425681352615356,1.0352134722779738e-06,0.8120291233062744,0.02856208011507988,,,,,
7,3999,,,,,,0.0010897646425291896,0.0253785140812397,1.821517912503623e-06,0.7690227031707764,0.03279094025492668
7,3999,0.0008512380882166326,0.022737018764019012,4.6205519765862846e-07,0.808833122253418,0.028863077983260155,,,,,
8,4499,,,,,,0.0008317630854435265,0.022812495008111,1.8310546465727384e-06,0.8218281865119934,0.028661232441663742
8,4499,0.0008445606799796224,0.02268889918923378,1.0128021585842362e-06,0.8079620599746704,0.02876713126897812,,,,,
