epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
0,63,,,,,,,,,,,,,,,2.214506149291992,0.0,2.228071689605713,3.0810797214508057,1.3724113702774048,0.7126696109771729,1.7470483779907227
0,63,,,,,,,,2.234384059906006,0.0,2.2448344230651855,4.580831527709961,1.646815299987793,0.5553057193756104,2.090855836868286,,,,,,,
1,127,,,,,,,,,,,,,,,2.1872217655181885,0.0,2.2474379539489746,2.8558804988861084,1.3328372240066528,0.7285746932029724,1.6846362352371216
1,127,,,,,,,,2.206825017929077,0.0,2.2381293773651123,2.547163248062134,1.2433284521102905,0.7533103823661804,1.5869542360305786,,,,,,,
2,191,,,,,,,,,,,,,,,2.1834723949432373,0.0,2.234633684158325,2.134974718093872,1.1618704795837402,0.7945306301116943,1.4542515277862549
2,191,,,,,,,,2.2000598907470703,0.0,2.2382664680480957,2.150564193725586,1.154541254043579,0.7894245386123657,1.4587304592132568,,,,,,,
3,255,,,,,,,,,,,,,,,2.169724464416504,0.0,2.2264785766601562,1.950021505355835,1.0996536016464233,0.8127286434173584,1.3901572227478027
3,255,,,,,,,,2.182163953781128,0.0,2.233642101287842,2.013157844543457,1.117966890335083,0.805167019367218,1.410610556602478,,,,,,,
4,319,,,,,,,,,,,,,,,2.13169002532959,0.0,2.2065038681030273,1.7496731281280518,1.049930453300476,0.8311710953712463,1.3157347440719604
4,319,,,,,,,,2.161998748779297,0.0,2.218173027038574,1.8225734233856201,1.060402274131775,0.8219220042228699,1.3418742418289185,,,,,,,
5,383,,,,,,,,,,,,,,,2.081899642944336,0.0,2.154954671859741,1.5165205001831055,0.968891441822052,0.8536030650138855,1.2248947620391846
5,383,,,,,,,,2.129971981048584,0.0,2.181527614593506,1.570461392402649,0.9876724481582642,0.8476543426513672,1.2464860677719116,,,,,,,
6,447,,,,,,,,,,,,,,,2.0204694271087646,0.0,2.1094303131103516,1.3602200746536255,0.91456139087677,0.8698300123214722,1.1613415479660034
6,447,,,,,,,,2.061098575592041,0.0,2.125359296798706,1.400139331817627,0.9319519996643066,0.8641720414161682,1.175426959991455,,,,,,,
7,511,,,,,,,,,,,,,,,1.9593896865844727,0.0,2.079336166381836,1.2939609289169312,0.8935493230819702,0.873787522315979,1.1295610666275024
7,511,,,,,,,,1.9928263425827026,0.0,2.0889410972595215,1.3225681781768799,0.9070301651954651,0.8701143860816956,1.1442201137542725,,,,,,,
8,575,,,,,,,,,,,,,,,1.9712409973144531,0.0,2.0466082096099854,1.4565768241882324,0.9506787061691284,0.8598949909210205,1.202393889427185
8,575,,,,,,,,1.954796552658081,0.0,2.0568606853485107,1.3585337400436401,0.9183904528617859,0.8663610219955444,1.1552895307540894,,,,,,,
9,639,,,,,,,,,,,,,,,1.9075469970703125,0.0,2.036219596862793,1.1976484060287476,0.8516155481338501,0.8845161199569702,1.0898813009262085
9,639,,,,,,,,1.9470994472503662,0.0,2.0419015884399414,1.2417902946472168,0.8784113526344299,0.878297746181488,1.1056126356124878,,,,,,,
10,703,,,,,,,,,,,,,,,1.8677926063537598,0.0,2.0136494636535645,1.184126377105713,0.8465522527694702,0.8843814134597778,1.081200361251831
10,703,,,,,,,,1.9161138534545898,0.0,2.022797107696533,1.209974765777588,0.8695306181907654,0.8780738711357117,1.09470534324646,,,,,,,
11,767,,,,,,,,,,,,,,,1.9092379808425903,0.0,2.0002691745758057,1.1944777965545654,0.8536049723625183,0.8853211998939514,1.0889289379119873
11,767,,,,,,,,1.8961201906204224,0.0,2.0042316913604736,1.2690200805664062,0.8865154385566711,0.8747514486312866,1.1156648397445679,,,,,,,
12,831,,,,,,,,,,,,,,,1.8635308742523193,0.0,1.9853633642196655,1.1668401956558228,0.8398835062980652,0.8872422575950623,1.0760512351989746
12,831,,,,,,,,1.8872766494750977,0.0,1.988640546798706,1.1565804481506348,0.8524041771888733,0.8851175904273987,1.0703020095825195,,,,,,,
13,895,,,,,,,,,,,,,,,1.8656314611434937,0.0,1.9666019678115845,1.2960333824157715,0.8820064663887024,0.8737893104553223,1.1320762634277344
13,895,,,,,,,,1.863816738128662,0.0,1.9695698022842407,1.1614998579025269,0.8549001812934875,0.8865686655044556,1.0707850456237793,,,,,,,
14,959,,,,,,,,,,,,,,,1.8442261219024658,0.0,1.943246603012085,1.2852463722229004,0.8982706665992737,0.8756991028785706,1.1297720670700073
14,959,,,,,,,,1.855742335319519,0.0,1.9565997123718262,1.1375268697738647,0.845944881439209,0.8903749585151672,1.0622735023498535,,,,,,,
15,1023,,,,,,,,,,,,,,,1.8574590682983398,0.0,1.9370613098144531,1.2505033016204834,0.8767703771591187,0.879568874835968,1.1147770881652832
15,1023,,,,,,,,1.8392906188964844,0.0,1.945651888847351,1.1698520183563232,0.8580281138420105,0.8848459124565125,1.0763486623764038,,,,,,,
16,1087,,,,,,,,,,,,,,,1.8282480239868164,0.0,1.9310524463653564,1.237565279006958,0.8771730661392212,0.8813241720199585,1.1103476285934448
16,1087,,,,,,,,1.8406201601028442,0.0,1.933262586593628,1.1276453733444214,0.8374342918395996,0.8905807733535767,1.055498719215393,,,,,,,
17,1151,,,,,,,,,,,,,,,1.8219375610351562,0.0,1.9204018115997314,1.113988995552063,0.8217155337333679,0.8916871547698975,1.0504732131958008
17,1151,,,,,,,,1.8327553272247314,0.0,1.9222770929336548,1.1259135007858276,0.8443145751953125,0.8889928460121155,1.054186224937439,,,,,,,
18,1215,,,,,,,,,,,,,,,1.828223466873169,0.0,1.9079252481460571,1.2956976890563965,0.9027715921401978,0.8753926753997803,1.1356110572814941
18,1215,,,,,,,,1.818213701248169,0.0,1.915458083152771,1.1461368799209595,0.8443276286125183,0.8869722485542297,1.0641512870788574,,,,,,,
19,1279,,,,,,,,,,,,,,,1.8189849853515625,0.0,1.9068329334259033,1.1355087757110596,0.8345187306404114,0.8904382586479187,1.0626624822616577
19,1279,,,,,,,,1.8291981220245361,0.0,1.909386396408081,1.1423856019973755,0.8478611707687378,0.88714998960495,1.061946153640747,,,,,,,
20,1343,,,,,,,,,,,,,,,1.8259025812149048,0.0,1.9102904796600342,1.15781831741333,0.8399274349212646,0.8881359696388245,1.0720264911651611
20,1343,,,,,,,,1.8238505125045776,0.0,1.902702808380127,1.0968005657196045,0.8319755792617798,0.891704797744751,1.0415271520614624,,,,,,,
21,1407,,,,,,,,,,,,,,,1.8161535263061523,0.0,1.8967373371124268,1.2011902332305908,0.8668226599693298,0.8838798403739929,1.0926649570465088
21,1407,,,,,,,,1.8205105066299438,0.0,1.8996740579605103,1.1077566146850586,0.8325912356376648,0.8924837708473206,1.0443729162216187,,,,,,,
22,1471,,,,,,,,,,,,,,,1.8059359788894653,0.0,1.8977693319320679,1.565608263015747,0.9806581735610962,0.8499900698661804,1.247708797454834
22,1471,,,,,,,,1.8143908977508545,0.0,1.8959239721298218,1.1268659830093384,0.8403465747833252,0.8907060027122498,1.0562491416931152,,,,,,,
23,1535,,,,,,,,,,,,,,,1.8029061555862427,0.0,1.8958379030227661,1.1221535205841064,0.8248098492622375,0.8910985589027405,1.0549448728561401
23,1535,,,,,,,,1.8197108507156372,0.0,1.890137791633606,1.126541018486023,0.8395236134529114,0.8902523517608643,1.052832841873169,,,,,,,
24,1599,,,,,,,,,,,,,,,1.811070203781128,0.0,1.8845398426055908,1.2512413263320923,0.8727664351463318,0.8793806433677673,1.1149024963378906
24,1599,,,,,,,,1.811029076576233,0.0,1.8831086158752441,1.05552339553833,0.8135151863098145,0.8963360786437988,1.021247148513794,,,,,,,
25,1663,,,,,,,,,,,,,,,1.8034840822219849,0.0,1.8797420263290405,1.130753517150879,0.8303081393241882,0.8907726407051086,1.0599987506866455
25,1663,,,,,,,,1.8060154914855957,0.0,1.8776144981384277,1.1093418598175049,0.832846999168396,0.8914465308189392,1.0468844175338745,,,,,,,
26,1727,,,,,,,,,,,,,,,1.8020832538604736,0.0,1.872199296951294,1.2317715883255005,0.8641422390937805,0.8814373016357422,1.1061928272247314
