epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
0,63,,,,,,,,,,,,,,,2.147094249725342,0.0,2.2604105472564697,3.176316022872925,1.3941806554794312,0.7177559733390808,1.7715322971343994
0,63,,,,,,,,2.197813034057617,0.0,2.2555365562438965,5.187739372253418,1.7450683116912842,0.49771884083747864,2.217257022857666,,,,,,,
1,127,,,,,,,,,,,,,,,2.2169971466064453,0.0,2.2479822635650635,2.3213579654693604,1.2036572694778442,0.791042149066925,1.5165268182754517
1,127,,,,,,,,2.1933133602142334,0.0,2.256261110305786,2.5895657539367676,1.2488658428192139,0.7508245706558228,1.5983729362487793,,,,,,,
2,191,,,,,,,,,,,,,,,2.1946609020233154,0.0,2.238677501678467,2.062685489654541,1.1370881795883179,0.8122608065605164,1.43058443069458
2,191,,,,,,,,2.2111971378326416,0.0,2.2347888946533203,2.1454391479492188,1.1493840217590332,0.7899513840675354,1.454940676689148,,,,,,,
3,255,,,,,,,,,,,,,,,2.164349317550659,0.0,2.2075281143188477,1.7469658851623535,1.0471738576889038,0.8414037823677063,1.3161444664001465
3,255,,,,,,,,2.1933069229125977,0.0,2.2203071117401123,1.85007905960083,1.0693864822387695,0.8202242255210876,1.3510600328445435,,,,,,,
4,319,,,,,,,,,,,,,,,2.0388638973236084,0.0,2.173034429550171,1.5087546110153198,0.9709579944610596,0.862653911113739,1.2238430976867676
4,319,,,,,,,,2.1216704845428467,0.0,2.181124210357666,1.5692476034164429,0.9800023436546326,0.8429000377655029,1.2448878288269043,,,,,,,
5,383,,,,,,,,,,,,,,,1.9542957544326782,0.0,2.1279420852661133,1.4766100645065308,0.9580830931663513,0.8653157949447632,1.2102545499801636
5,383,,,,,,,,2.0254151821136475,0.0,2.1471073627471924,1.4347189664840698,0.9352357983589172,0.8601862192153931,1.1890153884887695,,,,,,,
6,447,,,,,,,,,,,,,,,1.9422084093093872,0.0,2.112621545791626,1.3681764602661133,0.9371939301490784,0.8763383626937866,1.1656352281570435
6,447,,,,,,,,1.9496257305145264,0.0,2.1245462894439697,1.3119616508483887,0.8955806493759155,0.868927001953125,1.137885332107544,,,,,,,
7,511,,,,,,,,,,,,,,,1.8943359851837158,0.0,2.1024703979492188,1.1550285816192627,0.8606423139572144,0.8951784372329712,1.071111798286438
7,511,,,,,,,,1.9162800312042236,0.0,2.1049845218658447,1.2602673768997192,0.8813953995704651,0.8756335377693176,1.115797519683838,,,,,,,
8,575,,,,,,,,,,,,,,,1.899593472480774,0.0,2.0875437259674072,1.2775421142578125,0.9087949991226196,0.8843955397605896,1.1267143487930298
8,575,,,,,,,,1.9064319133758545,0.0,2.097243309020996,1.2893697023391724,0.8904473185539246,0.8723343014717102,1.1268188953399658,,,,,,,
9,639,,,,,,,,,,,,,,,1.869032621383667,0.0,2.079012393951416,1.3329799175262451,0.9188896417617798,0.8781375288963318,1.1497734785079956
9,639,,,,,,,,1.8815997838974,0.0,2.080132246017456,1.210131049156189,0.8630458116531372,0.8822091817855835,1.0925356149673462,,,,,,,
10,703,,,,,,,,,,,,,,,1.8503612279891968,0.0,2.0619516372680664,1.2449908256530762,0.899637758731842,0.8868418335914612,1.1125383377075195
10,703,,,,,,,,1.8601040840148926,0.0,2.0650548934936523,1.1507512331008911,0.8408136963844299,0.8871190547943115,1.0656633377075195,,,,,,,
11,767,,,,,,,,,,,,,,,1.843461513519287,0.0,2.058337688446045,1.1885905265808105,0.8820409178733826,0.8920086026191711,1.0870782136917114
11,767,,,,,,,,1.8451049327850342,0.0,2.059222459793091,1.1183382272720337,0.8331760168075562,0.888335108757019,1.0512803792953491,,,,,,,
12,831,,,,,,,,,,,,,,,1.8350088596343994,0.0,2.0469353199005127,1.1713244915008545,0.8736063241958618,0.8935427069664001,1.0794248580932617
12,831,,,,,,,,1.833189845085144,0.0,2.0529465675354004,1.1336779594421387,0.8365374207496643,0.8869354724884033,1.058631181716919,,,,,,,
13,895,,,,,,,,,,,,,,,1.8433729410171509,0.0,2.0324184894561768,1.2204185724258423,0.8932514786720276,0.8891239762306213,1.1017649173736572
13,895,,,,,,,,1.8286737203598022,0.0,2.0443923473358154,1.1321148872375488,0.8355484008789062,0.8871886730194092,1.057690978050232,,,,,,,
14,959,,,,,,,,,,,,,,,1.827622890472412,0.0,2.0319440364837646,1.1275835037231445,0.8587572574615479,0.8974554538726807,1.0587910413742065
14,959,,,,,,,,1.8318730592727661,0.0,2.031919240951538,1.095643401145935,0.8258132338523865,0.8918377757072449,1.0415091514587402,,,,,,,
