epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
7,511,,,,,,,,,,,,,,,1.9380590915679932,0.0,1.703853964805603,1.2655366659164429,0.8859617114067078,0.8673844933509827,1.119155764579773
7,511,,,,,,,,1.9656659364700317,0.0,1.6998324394226074,1.3221445083618164,0.9024645090103149,0.8729531764984131,1.140649437904358,,,,,,,
8,575,,,,,,,,,,,,,,,1.9213069677352905,0.0,1.7014553546905518,1.2126957178115845,0.8604025840759277,0.8734014630317688,1.095142126083374
8,575,,,,,,,,1.9561703205108643,0.0,1.7052096128463745,1.2513335943222046,0.877093493938446,0.8790517449378967,1.1106986999511719,,,,,,,
9,639,,,,,,,,,,,,,,,1.9105256795883179,0.0,1.695946455001831,1.2110365629196167,0.8742462396621704,0.8726201057434082,1.096248984336853
9,639,,,,,,,,1.9295449256896973,0.0,1.6725051403045654,1.1873717308044434,0.858085036277771,0.8866238594055176,1.0834583044052124,,,,,,,
10,703,,,,,,,,,,,,,,,1.8954921960830688,0.0,1.696313500404358,1.1266824007034302,0.8181511759757996,0.8839588165283203,1.0544335842132568
10,703,,,,,,,,1.908786654472351,0.0,1.6994954347610474,1.1613119840621948,0.8515699505805969,0.8875558376312256,1.0713293552398682,,,,,,,
11,767,,,,,,,,,,,,,,,1.8726904392242432,0.0,1.7150182723999023,1.0887787342071533,0.8068356513977051,0.8869013786315918,1.03702974319458
11,767,,,,,,,,1.8867249488830566,0.0,1.6954556703567505,1.1241521835327148,0.8371973633766174,0.8911502957344055,1.0553369522094727,,,,,,,
12,831,,,,,,,,,,,,,,,1.872383713722229,0.0,1.7292896509170532,1.1144587993621826,0.8370633125305176,0.883025050163269,1.0486217737197876
12,831,,,,,,,,1.8749011754989624,0.0,1.7272353172302246,1.107579231262207,0.8309180736541748,0.8937498331069946,1.0472160577774048,,,,,,,
13,895,,,,,,,,,,,,,,,1.867463231086731,0.0,1.7518619298934937,1.0535391569137573,0.7986187934875488,0.8903678059577942,1.0200104713439941
13,895,,,,,,,,1.8686047792434692,0.0,1.7053024768829346,1.126070499420166,0.8389150500297546,0.8908461928367615,1.055499792098999,,,,,,,
14,959,,,,,,,,,,,,,,,1.8675525188446045,0.0,1.7237181663513184,1.050217866897583,0.8018791079521179,0.8903830647468567,1.018549919128418
14,959,,,,,,,,1.8648165464401245,0.0,1.7282633781433105,1.1215852499008179,0.8364897966384888,0.8926180005073547,1.0522381067276,,,,,,,
15,1023,,,,,,,,,,,,,,,1.8453906774520874,0.0,1.7473793029785156,1.1003729104995728,0.8147119879722595,0.8862982392311096,1.0428305864334106
15,1023,,,,,,,,1.861649990081787,0.0,1.7294366359710693,1.0892353057861328,0.8219918608665466,0.8941587209701538,1.0386269092559814,,,,,,,
16,1087,,,,,,,,,,,,,,,1.8523225784301758,0.0,1.7449153661727905,1.1538798809051514,0.8549156188964844,0.8774310350418091,1.0694689750671387
16,1087,,,,,,,,1.8553389310836792,0.0,1.749319314956665,1.116549015045166,0.8372982144355774,0.8948559761047363,1.0496407747268677,,,,,,,
17,1151,,,,,,,,,,,,,,,1.8497776985168457,0.0,1.7674702405929565,1.0513585805892944,0.7968376874923706,0.8910205960273743,1.019450068473816
17,1151,,,,,,,,1.8507599830627441,0.0,1.7561966180801392,1.0843191146850586,0.8213163018226624,0.8962617516517639,1.0349196195602417,,,,,,,
18,1215,,,,,,,,,,,,,,,1.8486498594284058,0.0,1.7625559568405151,1.3097114562988281,0.9164530038833618,0.8593745231628418,1.139580488204956
18,1215,,,,,,,,1.8518576622009277,0.0,1.7371084690093994,1.1268140077590942,0.8448559045791626,0.8873346447944641,1.0563302040100098,,,,,,,
19,1279,,,,,,,,,,,,,,,1.8596735000610352,0.0,1.7501002550125122,1.057572841644287,0.7955828905105591,0.8903784155845642,1.021540880203247
19,1279,,,,,,,,1.8574720621109009,0.0,1.75026273727417,1.1223416328430176,0.8384935259819031,0.8918574452400208,1.0542149543762207,,,,,,,
20,1343,,,,,,,,,,,,,,,1.839371919631958,0.0,1.7641897201538086,1.068803310394287,0.8098738789558411,0.8882781863212585,1.0289257764816284
20,1343,,,,,,,,1.8493564128875732,0.0,1.7197577953338623,1.0997447967529297,0.8279096484184265,0.8941832780838013,1.0432438850402832,,,,,,,
21,1407,,,,,,,,,,,,,,,1.8613042831420898,0.0,1.742002248764038,1.1061091423034668,0.8336508274078369,0.8824598789215088,1.0454846620559692
21,1407,,,,,,,,1.856361746788025,0.0,1.7450488805770874,1.114473819732666,0.8336715698242188,0.891690194606781,1.0485284328460693,,,,,,,
22,1471,,,,,,,,,,,,,,,1.852144718170166,0.0,1.7418559789657593,1.0864613056182861,0.823417603969574,0.8849373459815979,1.0360172986984253
22,1471,,,,,,,,1.8480050563812256,0.0,1.7316181659698486,1.089799404144287,0.8215166330337524,0.8945819735527039,1.0383822917938232,,,,,,,
23,1535,,,,,,,,,,,,,,,1.8618981838226318,0.0,1.7558908462524414,1.0467164516448975,0.7986668348312378,0.8902983665466309,1.0168770551681519
23,1535,,,,,,,,1.8636358976364136,0.0,1.7272813320159912,1.1314364671707153,0.8452928066253662,0.8910986185073853,1.0581941604614258,,,,,,,
24,1599,,,,,,,,,,,,,,,1.839181661605835,0.0,1.7622082233428955,1.0548804998397827,0.7941821217536926,0.890564501285553,1.0213263034820557
24,1599,,,,,,,,1.8438514471054077,0.0,1.7554823160171509,1.061774492263794,0.8150008916854858,0.8971520066261292,1.02568781375885,,,,,,,
25,1663,,,,,,,,,,,,,,,1.8365867137908936,0.0,1.7474288940429688,1.023846983909607,0.7931581735610962,0.8930927515029907,1.006359577178955
25,1663,,,,,,,,1.8342370986938477,0.0,1.7527093887329102,1.0580134391784668,0.8103899359703064,0.897017240524292,1.0221915245056152,,,,,,,
26,1727,,,,,,,,,,,,,,,1.8211963176727295,0.0,1.7605894804000854,1.0278843641281128,0.7912628650665283,0.8921824097633362,1.0092437267303467
26,1727,,,,,,,,1.8262585401535034,0.0,1.7523499727249146,1.0585230588912964,0.8153414130210876,0.896911084651947,1.023496150970459,,,,,,,
27,1791,,,,,,,,,,,,,,,1.8349803686141968,0.0,1.7680190801620483,1.0979365110397339,0.8098261952400208,0.8862347602844238,1.0422544479370117
27,1791,,,,,,,,1.8320744037628174,0.0,1.7457178831100464,1.1054469347000122,0.8361389636993408,0.893150806427002,1.0460208654403687,,,,,,,
28,1855,,,,,,,,,,,,,,,1.8437297344207764,0.0,1.767056941986084,1.048272967338562,0.8017299175262451,0.8900536894798279,1.0171829462051392
28,1855,,,,,,,,1.8443416357040405,0.0,1.7601823806762695,1.079210877418518,0.8222358822822571,0.8951277136802673,1.0329797267913818,,,,,,,
29,1919,,,,,,,,,,,,,,,1.8210052251815796,0.0,1.7694662809371948,1.042124629020691,0.797324538230896,0.8913062810897827,1.016038179397583
29,1919,,,,,,,,1.8304208517074585,0.0,1.7600973844528198,1.0583314895629883,0.8127514719963074,0.896851658821106,1.0234451293945312,,,,,,,
30,1983,,,,,,,,,,,,,,,1.8536320924758911,0.0,1.7434751987457275,1.0791620016098022,0.8195641040802002,0.885379433631897,1.0330915451049805
30,1983,,,,,,,,1.8465901613235474,0.0,1.7460334300994873,1.153579831123352,0.8544301390647888,0.8896574378013611,1.0675352811813354,,,,,,,
31,2047,,,,,,,,,,,,,,,1.8348110914230347,0.0,1.7645328044891357,1.0572606325149536,0.8017691969871521,0.8897058963775635,1.0230135917663574
31,2047,,,,,,,,1.8437440395355225,0.0,1.7458808422088623,1.078902006149292,0.8222039937973022,0.8954630494117737,1.0320525169372559,,,,,,,
32,2111,,,,,,,,,,,,,,,1.8405325412750244,0.0,1.7340729236602783,1.0491780042648315,0.8041205406188965,0.8891721963882446,1.0191378593444824
32,2111,,,,,,,,1.8441745042800903,0.0,1.7371608018875122,1.0910019874572754,0.8266612887382507,0.8956819772720337,1.0388975143432617,,,,,,,
33,2175,,,,,,,,,,,,,,,1.8430497646331787,0.0,1.729148507118225,1.0369435548782349,0.8015983700752258,0.8910148739814758,1.012896180152893
33,2175,,,,,,,,1.840094804763794,0.0,1.7462059259414673,1.0504233837127686,0.8095434308052063,0.899191677570343,1.0188151597976685,,,,,,,
34,2239,,,,,,,,,,,,,,,1.831239938735962,0.0,1.7462584972381592,1.0416951179504395,0.8036068081855774,0.890064001083374,1.0157631635665894
34,2239,,,,,,,,1.8273180723190308,0.0,1.7243332862854004,1.0601236820220947,0.8165515065193176,0.8954130411148071,1.0243433713912964,,,,,,,
35,2303,,,,,,,,,,,,,,,1.8245460987091064,0.0,1.7568033933639526,1.0170817375183105,0.7882668375968933,0.8935272693634033,1.0032941102981567
35,2303,,,,,,,,1.8227334022521973,0.0,1.74033522605896,1.0236937999725342,0.7996648550033569,0.8996940851211548,1.0073151588439941,,,,,,,
36,2367,,,,,,,,,,,,,,,1.8184553384780884,0.0,1.7647279500961304,1.0315057039260864,0.7996982336044312,0.8917062878608704,1.0107182264328003
36,2367,,,,,,,,1.8161381483078003,0.0,1.7494215965270996,1.0558055639266968,0.8137364983558655,0.8990324139595032,1.0224640369415283,,,,,,,
37,2431,,,,,,,,,,,,,,,1.8370084762573242,0.0,1.7599644660949707,1.1019141674041748,0.8332069516181946,0.8824651837348938,1.044156551361084
37,2431,,,,,,,,1.831149935722351,0.0,1.7625712156295776,1.1056838035583496,0.8344499468803406,0.8939050436019897,1.0455394983291626,,,,,,,
38,2495,,,,,,,,,,,,,,,1.8440955877304077,0.0,1.750276803970337,1.1378343105316162,0.8508287072181702,0.8786131143569946,1.0617008209228516
38,2495,,,,,,,,1.8438148498535156,0.0,1.7437567710876465,1.0946049690246582,0.8310633301734924,0.8937037587165833,1.04057776927948,,,,,,,
39,2559,,,,,,,,,,,,,,,1.826341986656189,0.0,1.7648125886917114,1.0785012245178223,0.8149733543395996,0.8869290351867676,1.034195899963379
39,2559,,,,,,,,1.8407466411590576,0.0,1.756391167640686,1.08184015750885,0.8272399306297302,0.8938122391700745,1.0353468656539917,,,,,,,
