epoch,step,train_loss,train_mae,train_notears,train_r2,train_rmse,val_loss,val_mae,val_notears,val_r2,val_rmse
0,499,,,,,,0.0009535414865240455,0.023927833884954453,0.00016510199930053204,0.9289666414260864,0.027904534712433815
0,499,0.02693992853164673,0.09303557127714157,5.453586709336378e-05,-1.549024224281311,0.11015915125608444,,,,,
1,999,,,,,,0.00014771465794183314,0.00926009938120842,2.1440506316139363e-05,0.9887189865112305,0.011085373349487782
1,999,0.0003990437544416636,0.014986187219619751,6.26258843112737e-05,0.9702947735786438,0.017564861103892326,,,,,
2,1499,,,,,,5.5095973948482424e-05,0.005646682810038328,3.5552977806219133e-06,0.9953862428665161,0.007090610917657614
2,1499,9.12049290491268e-05,0.007197811733931303,9.953975677490234e-06,0.9928417205810547,0.008834876120090485,,,,,
3,1999,,,,,,4.1159135435009375e-05,0.00490971002727747,1.1138915851915954e-06,0.9964175224304199,0.0062546683475375175
3,1999,4.8515958042116836e-05,0.005305122118443251,2.2006033759680577e-06,0.9959138035774231,0.006707985885441303,,,,,
4,2499,,,,,,3.637264671851881e-05,0.004589299205690622,5.569457925957977e-07,0.9968039393424988,0.0059083616361021996
4,2499,3.9407161239068955e-05,0.0048185973428189754,8.563995379518019e-07,0.9965892434120178,0.006137037184089422,,,,,
5,2999,,,,,,3.303957782918587e-05,0.004427247680723667,2.918243353633443e-07,0.9970700740814209,0.005660712253302336
5,2999,3.629463753895834e-05,0.004665269982069731,4.401206865622953e-07,0.9968165159225464,0.005919621326029301,,,,,
