adaptive_cycle,adaptive_phase,adaptive_phase_epochs,epoch,step,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
0.0,0.0,1.0,0,14,,,,,,,,,,,,0.0,0.016332851722836494,0.016332851722836494,34.19423294067383,0.0,0.054398082196712494,0.0209575854241848,0.01710764691233635,0.7611903548240662,0.10900650918483734,-0.03739515319466591,0.14476406574249268
,,,0,14,0.0,0.01364944688975811,0.01364944688975811,34.19258499145508,0.0,0.10993120819330215,0.01710892654955387,0.7611615061759949,0.2681485414505005,-4.411029815673828,0.3028513789176941,,,,,,,,,,,,
0.0,0.0,2.0,1,22,,,,,,,,,,,,0.0,0.01615006849169731,0.01615006849169731,34.191261291503906,0.0,0.05152246728539467,0.01826808787882328,0.017104314640164375,0.7611373066902161,0.10605569183826447,0.05276191979646683,0.13515712320804596
,,,1,22,0.0,0.014859380200505257,0.014859380200505257,34.19218826293945,0.0,0.0291065014898777,0.017105283215641975,0.7611544728279114,0.1421007513999939,-0.5069082975387573,0.16930274665355682,,,,,,,,,,,,
0.0,0.0,3.0,2,30,,,,,,,,,,,,0.0,0.01610097847878933,0.01610097847878933,34.191261291503906,0.0,0.05143430083990097,0.018229003995656967,0.017104314640164375,0.7611373066902161,0.10775862634181976,0.05477182939648628,0.13501305878162384
,,,2,30,0.0,0.015623138286173344,0.015623138286173344,34.19219207763672,0.0,0.02337786927819252,0.017105283215641975,0.7611544132232666,0.11344575136899948,-0.2089250385761261,0.15250259637832642,,,,,,,,,,,,
0.0,0.0,4.0,3,38,,,,,,,,,,,,0.0,0.01596026122570038,0.01596026122570038,34.191261291503906,0.0,0.05001755803823471,0.016952980309724808,0.017104314640164375,0.7611373066902161,0.09932209551334381,0.12096470594406128,0.1302008032798767
,,,3,38,0.0,0.01479773223400116,0.01479773223400116,34.19218826293945,0.0,0.020360559225082397,0.017105283215641975,0.7611544132232666,0.11670734733343124,-0.05322059988975525,0.14259551465511322,,,,,,,,,,,,
0.0,0.0,5.0,4,46,,,,,,,,,,,,0.0,0.015492681413888931,0.015492681413888931,34.191261291503906,0.0,0.04690513759851456,0.014308135025203228,0.017104314640164375,0.7611373066902161,0.09573715180158615,0.2580622136592865,0.11961564421653748
,,,4,46,0.0,0.013877999037504196,0.013877999037504196,34.19218826293945,0.0,0.018054287880659103,0.017105283215641975,0.7611544728279114,0.10176991671323776,0.06598712503910065,0.1343136727809906,,,,,,,,,,,,
0.0,0.0,6.0,5,54,,,,,,,,,,,,0.0,0.015047676861286163,0.015047676861286163,34.191261291503906,0.0,0.0440669022500515,0.011914907023310661,0.017104314640164375,0.7611373066902161,0.0825110524892807,0.3821852505207062,0.10915354639291763
,,,5,54,0.0,0.011793546378612518,0.011793546378612518,34.19219207763672,0.0,0.015749657526612282,0.017105281352996826,0.7611544728279114,0.09978645294904709,0.18490149080753326,0.12546221911907196,,,,,,,,,,,,
0.0,0.0,7.0,6,62,,,,,,,,,,,,0.0,0.014775543473660946,0.014775543473660946,34.191261291503906,0.0,0.043347183614969254,0.011467323638498783,0.017104314640164375,0.7611373066902161,0.08372378349304199,0.4053480625152588,0.10708540678024292
,,,6,62,0.0,0.011383739300072193,0.011383739300072193,34.19219207763672,0.0,0.014077173545956612,0.017105281352996826,0.7611544132232666,0.0917794331908226,0.27194714546203613,0.11862789839506149,,,,,,,,,,,,
0.0,0.0,8.0,7,70,,,,,,,,,,,,0.0,0.014655235223472118,0.014655235223472118,34.191261291503906,0.0,0.04285213351249695,0.01109258458018303,0.017104314640164375,0.7611373066902161,0.08045347779989243,0.4248036742210388,0.10532043874263763
,,,7,70,0.0,0.011983352713286877,0.011983352713286877,34.19219207763672,0.0,0.013029087334871292,0.017105281352996826,0.7611544132232666,0.08881007134914398,0.326063334941864,0.11414161324501038,,,,,,,,,,,,
0.0,0.0,9.0,8,78,,,,,,,,,,,,0.0,0.014328617602586746,0.014328617602586746,34.191261291503906,0.0,0.04226367548108101,0.010830739513039589,0.017104314640164375,0.7611373066902161,0.08035937696695328,0.43836650252342224,0.10407040268182755
,,,8,78,0.0,0.012011222541332245,0.012011222541332245,34.19219207763672,0.0,0.012595843523740768,0.017105281352996826,0.7611545324325562,0.08740558475255966,0.3485187292098999,0.11222559958696365,,,,,,,,,,,,
0.0,0.0,10.0,9,86,,,,,,,,,,,,0.0,0.014119775034487247,0.014119775034487247,34.191261291503906,0.0,0.04191211983561516,0.01068803109228611,0.017104314640164375,0.7611373066902161,0.08066854625940323,0.4457692801952362,0.10338246077299118
,,,9,86,0.0,0.01197176892310381,0.01197176892310381,34.19219207763672,0.0,0.012311751954257488,0.017105283215641975,0.7611544132232666,0.08597896993160248,0.3630928695201874,0.11095655709505081,,,,,,,,,,,,
0.0,0.0,11.0,10,94,,,,,,,,,,,,0.0,0.013934295624494553,0.013934295624494553,34.191261291503906,0.0,0.041452858597040176,0.0104142464697361,0.017104314640164375,0.7611373066902161,0.07850707322359085,0.4599756598472595,0.10204938054084778
,,,10,94,0.0,0.011961427517235279,0.011961427517235279,34.19219207763672,0.0,0.011983232572674751,0.017105281352996826,0.7611544728279114,0.08544803410768509,0.38015392422676086,0.10946423560380936,,,,,,,,,,,,
0.0,0.0,12.0,11,102,,,,,,,,,,,,0.0,0.013901428319513798,0.013901428319513798,34.191261291503906,0.0,0.041293784976005554,0.010288037359714508,0.017104314640164375,0.7611373066902161,0.07885172963142395,0.4665144085884094,0.10142938047647476
,,,11,102,0.0,0.011802462860941887,0.011802462860941887,34.19218826293945,0.0,0.011791495606303215,0.017105281352996826,0.7611544728279114,0.0844818577170372,0.3900558650493622,0.1085878387093544,,,,,,,,,,,,
0.0,0.0,13.0,12,110,,,,,,,,,,,,0.0,0.01392342522740364,0.01392342522740364,34.191261291503906,0.0,0.04117361828684807,0.010145873762667179,0.017104314640164375,0.7611373066902161,0.07840093225240707,0.4738866090774536,0.10072614252567291
,,,12,110,0.0,0.011778862215578556,0.011778862215578556,34.192195892333984,0.0,0.011689141392707825,0.017105283215641975,0.7611544132232666,0.0840349867939949,0.39522260427474976,0.10811465233564377,,,,,,,,,,,,
0.0,0.0,14.0,13,118,,,,,,,,,,,,0.0,0.013916674070060253,0.013916674070060253,34.191261291503906,0.0,0.041020479053258896,0.009999487549066544,0.017104314640164375,0.7611373066902161,0.07738884538412094,0.4814807176589966,0.09999670833349228
,,,13,118,0.0,0.011749622412025928,0.011749622412025928,34.19219207763672,0.0,0.011533978395164013,0.017105283215641975,0.7611544728279114,0.08382416516542435,0.4033224582672119,0.1073937639594078,,,,,,,,,,,,
0.0,0.0,15.0,14,126,,,,,,,,,,,,0.0,0.013857736252248287,0.013857736252248287,34.191261291503906,0.0,0.040898170322179794,0.009936116635799408,0.017104314640164375,0.7611373066902161,0.07756282389163971,0.4847643971443176,0.09967945516109467
,,,14,126,0.0,0.011695685796439648,0.011695685796439648,34.19219207763672,0.0,0.011421765200793743,0.017105283215641975,0.7611544132232666,0.083111971616745,0.40918344259262085,0.10687075555324554,,,,,,,,,,,,
0.0,0.0,16.0,15,134,,,,,,,,,,,,0.0,0.013775307685136795,0.013775307685136795,34.191261291503906,0.0,0.04071015864610672,0.009830535389482975,0.017104314640164375,0.7611373066902161,0.07681833207607269,0.4902407228946686,0.09914836287498474
,,,15,134,0.0,0.011729715391993523,0.011729715391993523,34.19218826293945,0.0,0.011334872804582119,0.017105285078287125,0.7611544132232666,0.08293227106332779,0.41368401050567627,0.10646084696054459,,,,,,,,,,,,
0.0,0.0,17.0,16,142,,,,,,,,,,,,0.0,0.013646513223648071,0.013646513223648071,34.191261291503906,0.0,0.0405040867626667,0.009753257036209106,0.017104314640164375,0.7611373066902161,0.07658220827579498,0.4942484200000763,0.09875787049531937
,,,16,142,0.0,0.011677230708301067,0.011677230708301067,34.19219207763672,0.0,0.011232676915824413,0.017105281352996826,0.7611544728279114,0.08250253647565842,0.41901737451553345,0.10598158091306686,,,,,,,,,,,,
0.0,0.0,18.0,17,150,,,,,,,,,,,,0.0,0.013483680784702301,0.013483680784702301,34.191261291503906,0.0,0.040244705975055695,0.009656709618866444,0.017104314640164375,0.7611373066902161,0.07606309652328491,0.49925506114959717,0.09826783835887909
,,,17,150,0.0,0.011566326022148132,0.011566326022148132,34.19218826293945,0.0,0.011163058690726757,0.017105281352996826,0.7611544728279114,0.08217095583677292,0.42262354493141174,0.10565268248319626,,,,,,,,,,,,
